datum,kraj_nuts_kod,okres_lau_kod,kumulativni_pocet_nakazenych,kumulativni_pocet_vylecenych,kumulativni_pocet_umrti
2020-03-01,CZ0100,CZ010,2,0,0
2020-03-01,CZ020A,CZ020,0,0,0
2020-03-01,CZ020B,CZ020,0,0,0
2020-03-01,CZ020C,CZ020,0,0,0
2020-03-01,CZ0201,CZ020,0,0,0
2020-03-01,CZ0202,CZ020,0,0,0
2020-03-01,CZ0203,CZ020,0,0,0
2020-03-01,CZ0204,CZ020,0,0,0
2020-03-01,CZ0205,CZ020,0,0,0
2020-03-01,CZ0206,CZ020,0,0,0
2020-03-01,CZ0207,CZ020,0,0,0
2020-03-01,CZ0208,CZ020,0,0,0
2020-03-01,CZ0209,CZ020,0,0,0
2020-03-01,CZ0311,CZ031,0,0,0
2020-03-01,CZ0312,CZ031,0,0,0
2020-03-01,CZ0313,CZ031,0,0,0
2020-03-01,CZ0314,CZ031,0,0,0
2020-03-01,CZ0315,CZ031,0,0,0
2020-03-01,CZ0316,CZ031,0,0,0
2020-03-01,CZ0317,CZ031,0,0,0
2020-03-01,CZ0321,CZ032,0,0,0
2020-03-01,CZ0322,CZ032,0,0,0
2020-03-01,CZ0323,CZ032,0,0,0
2020-03-01,CZ0324,CZ032,0,0,0
2020-03-01,CZ0325,CZ032,0,0,0
2020-03-01,CZ0326,CZ032,0,0,0
2020-03-01,CZ0327,CZ032,0,0,0
2020-03-01,CZ0411,CZ041,0,0,0
2020-03-01,CZ0412,CZ041,0,0,0
2020-03-01,CZ0413,CZ041,0,0,0
2020-03-01,CZ0421,CZ042,1,0,0
2020-03-01,CZ0422,CZ042,0,0,0
2020-03-01,CZ0423,CZ042,0,0,0
2020-03-01,CZ0424,CZ042,0,0,0
2020-03-01,CZ0425,CZ042,0,0,0
2020-03-01,CZ0426,CZ042,0,0,0
2020-03-01,CZ0427,CZ042,0,0,0
2020-03-01,CZ0511,CZ051,0,0,0
2020-03-01,CZ0512,CZ051,0,0,0
2020-03-01,CZ0513,CZ051,0,0,0
2020-03-01,CZ0514,CZ051,0,0,0
2020-03-01,CZ0521,CZ052,0,0,0
2020-03-01,CZ0522,CZ052,0,0,0
2020-03-01,CZ0523,CZ052,0,0,0
2020-03-01,CZ0524,CZ052,0,0,0
2020-03-01,CZ0525,CZ052,0,0,0
2020-03-01,CZ0531,CZ053,0,0,0
2020-03-01,CZ0532,CZ053,0,0,0
2020-03-01,CZ0533,CZ053,0,0,0
2020-03-01,CZ0534,CZ053,0,0,0
2020-03-01,CZ0631,CZ063,0,0,0
2020-03-01,CZ0632,CZ063,0,0,0
2020-03-01,CZ0633,CZ063,0,0,0
2020-03-01,CZ0634,CZ063,0,0,0
2020-03-01,CZ0635,CZ063,0,0,0
2020-03-01,CZ0641,CZ064,0,0,0
2020-03-01,CZ0642,CZ064,0,0,0
2020-03-01,CZ0643,CZ064,0,0,0
2020-03-01,CZ0644,CZ064,0,0,0
2020-03-01,CZ0645,CZ064,0,0,0
2020-03-01,CZ0646,CZ064,0,0,0
2020-03-01,CZ0647,CZ064,0,0,0
2020-03-01,CZ0711,CZ071,0,0,0
2020-03-01,CZ0712,CZ071,0,0,0
2020-03-01,CZ0713,CZ071,0,0,0
2020-03-01,CZ0714,CZ071,0,0,0
2020-03-01,CZ0715,CZ071,0,0,0
2020-03-01,CZ0721,CZ072,0,0,0
2020-03-01,CZ0722,CZ072,0,0,0
2020-03-01,CZ0723,CZ072,0,0,0
2020-03-01,CZ0724,CZ072,0,0,0
2020-03-01,CZ0801,CZ080,0,0,0
2020-03-01,CZ0802,CZ080,0,0,0
2020-03-01,CZ0803,CZ080,0,0,0
2020-03-01,CZ0804,CZ080,0,0,0
2020-03-01,CZ0805,CZ080,0,0,0
2020-03-01,CZ0806,CZ080,0,0,0
2020-03-02,CZ0100,CZ010,2,0,0
2020-03-02,CZ020A,CZ020,0,0,0
2020-03-02,CZ020B,CZ020,0,0,0
2020-03-02,CZ020C,CZ020,0,0,0
2020-03-02,CZ0201,CZ020,0,0,0
2020-03-02,CZ0202,CZ020,0,0,0
2020-03-02,CZ0203,CZ020,0,0,0
2020-03-02,CZ0204,CZ020,0,0,0
2020-03-02,CZ0205,CZ020,0,0,0
2020-03-02,CZ0206,CZ020,0,0,0
2020-03-02,CZ0207,CZ020,0,0,0
2020-03-02,CZ0208,CZ020,0,0,0
2020-03-02,CZ0209,CZ020,0,0,0
2020-03-02,CZ0311,CZ031,0,0,0
2020-03-02,CZ0312,CZ031,0,0,0
2020-03-02,CZ0313,CZ031,0,0,0
2020-03-02,CZ0314,CZ031,0,0,0
2020-03-02,CZ0315,CZ031,0,0,0
2020-03-02,CZ0316,CZ031,0,0,0
2020-03-02,CZ0317,CZ031,0,0,0
2020-03-02,CZ0321,CZ032,0,0,0
2020-03-02,CZ0322,CZ032,0,0,0
2020-03-02,CZ0323,CZ032,0,0,0
2020-03-02,CZ0324,CZ032,0,0,0
2020-03-02,CZ0325,CZ032,0,0,0
2020-03-02,CZ0326,CZ032,0,0,0
2020-03-02,CZ0327,CZ032,0,0,0
2020-03-02,CZ0411,CZ041,0,0,0
2020-03-02,CZ0412,CZ041,0,0,0
2020-03-02,CZ0413,CZ041,0,0,0
2020-03-02,CZ0421,CZ042,1,0,0
2020-03-02,CZ0422,CZ042,0,0,0
2020-03-02,CZ0423,CZ042,0,0,0
2020-03-02,CZ0424,CZ042,0,0,0
2020-03-02,CZ0425,CZ042,0,0,0
2020-03-02,CZ0426,CZ042,0,0,0
2020-03-02,CZ0427,CZ042,0,0,0
2020-03-02,CZ0511,CZ051,0,0,0
2020-03-02,CZ0512,CZ051,0,0,0
2020-03-02,CZ0513,CZ051,0,0,0
2020-03-02,CZ0514,CZ051,0,0,0
2020-03-02,CZ0521,CZ052,0,0,0
2020-03-02,CZ0522,CZ052,0,0,0
2020-03-02,CZ0523,CZ052,0,0,0
2020-03-02,CZ0524,CZ052,0,0,0
2020-03-02,CZ0525,CZ052,0,0,0
2020-03-02,CZ0531,CZ053,0,0,0
2020-03-02,CZ0532,CZ053,0,0,0
2020-03-02,CZ0533,CZ053,0,0,0
2020-03-02,CZ0534,CZ053,0,0,0
2020-03-02,CZ0631,CZ063,0,0,0
2020-03-02,CZ0632,CZ063,0,0,0
2020-03-02,CZ0633,CZ063,0,0,0
2020-03-02,CZ0634,CZ063,0,0,0
2020-03-02,CZ0635,CZ063,0,0,0
2020-03-02,CZ0641,CZ064,0,0,0
2020-03-02,CZ0642,CZ064,0,0,0
2020-03-02,CZ0643,CZ064,0,0,0
2020-03-02,CZ0644,CZ064,0,0,0
2020-03-02,CZ0645,CZ064,0,0,0
2020-03-02,CZ0646,CZ064,0,0,0
2020-03-02,CZ0647,CZ064,0,0,0
2020-03-02,CZ0711,CZ071,0,0,0
2020-03-02,CZ0712,CZ071,0,0,0
2020-03-02,CZ0713,CZ071,0,0,0
2020-03-02,CZ0714,CZ071,0,0,0
2020-03-02,CZ0715,CZ071,0,0,0
2020-03-02,CZ0721,CZ072,0,0,0
2020-03-02,CZ0722,CZ072,0,0,0
2020-03-02,CZ0723,CZ072,0,0,0
